ART CODE,TITLE,TYPE,YEAR,ARTIST,ADDRESS,LOCATION,X,Y,IMAGE_URL,JPG_URL
631.14,Red Mesa,painting,2009,Reg Loving,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148289608/in/photostream/,http://farm3.staticflickr.com/2783/4148289608_e387f7f39f_m.jpg
631.15,Dome Study for Itinerary Map West Through Space and Time (Albuquerque),drawing,2009,Sage Dawson,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4147529923/in/photostream/,http://farm3.staticflickr.com/2748/4147529923_47b085a4b0_m.jpg
631.16,Populate - Dome Study for Itinerary Map West Through Space and Time (Albuquerque),drawing,2009,Sage Dawson,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4147529969/in/photostream/,http://farm3.staticflickr.com/2515/4147529969_da10c76ca1_m.jpg
631.17,Dentrite Fusion,paintings (visual works),2009, Xuan (Schwin) Chen,908 Eastridge DR NE,Lomas Tramway Library,-106.498236,35.085566,http://www.flickr.com/photos/abqpublicart/4148290094/in/photostream/,http://farm3.staticflickr.com/2701/4148290094_1b6baf4dc3_m.jpg
631.18,Composition no. 15,drawings,2009,Shawn Turung,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148290190/in/photostream/,http://farm3.staticflickr.com/2599/4148290190_a43a8bf4d1_m.jpg
631.19,Her Lips are Red,collage,2009,Stephanie Lerma,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4147530503/in/photostream/,http://farm3.staticflickr.com/2508/4147530503_dbb40e84c4_m.jpg
631.2,Sa sara,paintings (visual works),2009,Yulia Pinkusevich,908 Eastridge DR NE,Lomas Tramway Library,-106.498236,35.085566,http://www.flickr.com/photos/abqpublicart/4148290600/in/photostream/,http://farm3.staticflickr.com/2640/4148290600_8b99c1a3bd_m.jpg
631.21,Bird and Mountain,monoprint,2009,Dan Noyes,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4147527953/in/photostream/,http://farm3.staticflickr.com/2474/4147527953_b08a680410_m.jpg
631.22,Bird Girl's Search for Water: Eyeglasses,sculpture (visual work),2009,Kristen Diener,400 Marquette NW,City/County government bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4147529089/in/photostream/,http://farm3.staticflickr.com/2718/4147529089_d05c27a15b_m.jpg
631.23,Stanza,prints (visual works),2009,Linda Holland,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148289136/in/photostream/,http://farm3.staticflickr.com/2591/4148289136_2fdc10848a_m.jpg
631.24,Homeworks II,painting,2009,Sally Condon,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4147530061/in/photostream/,http://farm3.staticflickr.com/2656/4147530061_2b8baaa980_m.jpg
631.25,Bosque Rhythms,drawing,2009,Iva Morris,400 Marquette NW,City/County Government Bldg.,-106.652033,35.088041,http://www.flickr.com/photos/abqpublicart/4148288328/in/photostream/,http://farm3.staticflickr.com/2573/4148288328_45d98bb5a4_m.jpg
